Title,Note,URL,Comment
Kuay Teow Khae -Street Noodle Soup,,https://www.google.com/maps/place/Kuay+Teow+Khae+-Street+Noodle+Soup/data=!4m2!3m1!1s0x30e29f2c47dadb0b:0x2dacd9b8cc3fab4a,
Hai Som Tam Convent,,https://www.google.com/maps/place/Hai+Som+Tam+Convent/data=!4m2!3m1!1s0x30e29f2c429ee4cd:0x50b0988d738b4e7f,
Bed By City Hotel,,https://www.google.com/maps/place/Bed+By+City+Hotel/data=!4m2!3m1!1s0x30e298d4c2748ec7:0xf9967f7da01fceb3,
The Secret Service Bed and Breakfast Hotel,,https://www.google.com/maps/place/The+Secret+Service+Bed+and+Breakfast+Hotel/data=!4m2!3m1!1s0x30e299ebde2777e7:0x9b47f2f1ed8ce72d,
Ari BTS Station,,https://www.google.com/maps/place/Ari+BTS+Station/data=!4m2!3m1!1s0x30e29ea76248b233:0xb0f9895a7231acee,
Wat Pha Lat Hike (Monk's trail),,https://www.google.com/maps/place/Wat+Pha+Lat+Hike+(Monk's+trail)/data=!4m2!3m1!1s0x30da3a13caf6d7c7:0x9b92635e2a72e98,
Thon Buri,canals,https://www.google.com/maps/place/Thon+Buri/data=!4m2!3m1!1s0x30e2985f39205789:0x30100b25de24e70,
Chang Phuak Gate Night Market - Food Stalls,,https://www.google.com/maps/place/Chang+Phuak+Gate+Night+Market+-+Food+Stalls/data=!4m2!3m1!1s0x30da3a9129fc858d:0x6fc6d33ee0ea5b19,
Khao Soi Lamduan Fa Ham,,https://www.google.com/maps/place/Khao+Soi+Lamduan+Fa+Ham/data=!4m2!3m1!1s0x30da3ab6ff60f195:0xfec7f401382fd12,
Nimmanhaemin,"modern, artsy, hip neighborhood with cafes and boutiques",https://www.google.com/maps/place/Nimmanhaemin/data=!4m2!3m1!1s0x30da3a63ccd23efd:0xdc73130705b4ab94,
The North Gate Jazz Co-Op,,https://www.google.com/maps/place/The+North+Gate+Jazz+Co-Op/data=!4m2!3m1!1s0x30da3a9725192b57:0x81bb3e0b9483c631,
Tong Tem Toh,dinner restaurant from 2016 trip,https://www.google.com/maps/place/Tong+Tem+Toh/data=!4m2!3m1!1s0x30da3a628a7efc09:0xf5ab324f73da2d39,
Namtok Bua Tong-Nam Phu Chet Si National Park,sticky waterfalls,https://www.google.com/maps/place/Namtok+Bua+Tong-Nam+Phu+Chet+Si+National+Park/data=!4m2!3m1!1s0x30da1be7f33a53bb:0x4c0e02726fe57473,
Khaomao-Khaofang Imaginary Jungle,"jungle themed restaurant, Michelin-guide featured",https://www.google.com/maps/place/Khaomao-Khaofang+Imaginary+Jungle/data=!4m2!3m1!1s0x30dd98b4f3a98eed:0x625ccd31969c0f10,
Queen Saovabha Memorial Institute,collection of venomous snakes,https://www.google.com/maps/place/Queen+Saovabha+Memorial+Institute/data=!4m2!3m1!1s0x30e29f2a5742b231:0xe9e35279efea3ae9,
Wattana Panich,half century old soup ,https://www.google.com/maps/place/Wattana+Panich/data=!4m2!3m1!1s0x30e29e49982ce2f9:0x38858b25983d26,
Chiang Mai Night Bazaar,,https://www.google.com/maps/place/Chiang+Mai+Night+Bazaar/data=!4m2!3m1!1s0x30da3aa60ca74a5b:0xb2ef5007f26b01d,
Wat Si Don Chai Pa Tung Ngam (Wat Mae Kaet Noi),“Hell Temple”,https://www.google.com/maps/place/Wat+Si+Don+Chai+Pa+Tung+Ngam+(Wat+Mae+Kaet+Noi)/data=!4m2!3m1!1s0x30da2360cd976831:0x130292268a26549d,
Cow hat lady,,https://www.google.com/maps/place/Cow+hat+lady/data=!4m2!3m1!1s0x30da3b4689361b13:0xbeb240606633a00,
Chiangmai Circuit - Go Kart,,https://www.google.com/maps/place/Chiangmai+Circuit+-+Go+Kart/data=!4m2!3m1!1s0x30da2f5136cd6817:0x228009076d589cce,
The One Ratchada,,https://www.google.com/maps/place/The+One+Ratchada/data=!4m2!3m1!1s0x30e29e88b8f0625d:0x2c30ba0b8d64f91d,
Stamps Backpackers Hostel & Tours Chiang Mai,recommended for socializing and meeting people,https://www.google.com/maps/place/Stamps+Backpackers+Hostel+%26+Tours+Chiang+Mai/data=!4m2!3m1!1s0x30da3aa31da67f73:0x4fbce4bc8b8204af,
Koh Chang,,https://www.google.com/maps/place/Koh+Chang/data=!4m2!3m1!1s0x310416b31770cc1f:0xdfd424b9e3ad2a9,
Koh Kood,,https://www.google.com/maps/place/Koh+Kood/data=!4m2!3m1!1s0x31069badd0f9c685:0x6e4c6c3c1cb65b83,
Chatuchak Weekend Market,,https://www.google.com/maps/place/Chatuchak+Weekend+Market/data=!4m2!3m1!1s0x30e29c14e883f8dd:0x91f191d784b87d4b,
King Power Mahanakhon,,https://www.google.com/maps/place/King+Power+Mahanakhon/data=!4m2!3m1!1s0x30e298d29976351b:0x4ea0c13ed9fa8674,
Aya Service,Motorbike rental one-way to Pai with bag transfer,https://www.google.com/maps/place/Aya+Service/data=!4m2!3m1!1s0x30da2554ffffffff:0xe3e4200c179b2119,
Vang Vieng,,https://www.google.com/maps/place/Vang+Vieng/data=!4m2!3m1!1s0x3125ec34f03be713:0x1b35acb9d4d3e238,
Krong Siem Reap,,https://www.google.com/maps/place/Krong+Siem+Reap/data=!4m2!3m1!1s0x3110169a8c91a879:0xa940aaf93ee5bbfa,
Pai,,https://www.google.com/maps/place/Pai/data=!4m2!3m1!1s0x30da81b0e91eaceb:0x40079e40c8939ddf,
Chiang Mai,,https://www.google.com/maps/place/Chiang+Mai/data=!4m2!3m1!1s0x30da3a7e90bb6f5d:0x98d46270a59b4367,
Luang Prabang,,https://www.google.com/maps/place/Luang+Prabang/data=!4m2!3m1!1s0x312f2a3f413d1ba3:0xac9749a9608e6a56,
