_id,place_id,collection_id
404,404,22
405,405,22
406,406,22
407,407,22
408,408,22
409,409,22
410,410,22
411,411,22
412,412,22
413,413,22
414,414,22
415,415,22
416,416,22
417,417,22
418,418,22
419,419,22
420,420,22
421,421,22
422,422,22
423,423,22
424,424,22
425,425,22
426,426,22
427,427,22
428,428,22
429,429,22
430,430,22
431,431,22
432,432,22
433,433,22
434,434,22
435,435,22
436,436,22
437,437,22
438,438,23
439,439,23
440,440,23
441,441,24
442,442,24
443,443,24
444,444,24
445,445,24
446,446,24
447,447,24
448,448,24
449,449,24
450,450,24
451,451,24
452,452,24
453,453,24
454,454,24
455,455,24
456,456,24
457,457,24
458,458,24
459,459,24
460,460,24
461,461,24
462,462,24
463,463,24
464,464,24
465,465,24
466,466,24
467,467,24
468,468,24
469,469,24
470,470,24
471,471,24
472,472,24
473,473,24
474,474,24
475,475,24
476,476,24
477,477,24
478,478,24
479,479,24
480,480,24
481,481,24
482,482,24
483,483,24
484,484,24
485,485,24
486,486,25
487,487,25
488,488,25
489,489,25
490,490,25
491,491,25
492,492,25
493,493,25
494,494,25
495,495,25
496,496,25
497,497,25
498,498,25
499,499,25
500,500,25
501,501,25
502,502,25
503,503,25
